epoch,train_loss,val_loss,val_per
0,3.9810575760476956,3.09872784614563,0.754355559708441
1,2.875255248410915,2.7871742725372313,0.6793422050803722
2,2.4570803167374153,2.8401070117950438,0.6620759443275821
3,2.2901973598371677,2.5167385578155517,0.6310710612283634
4,2.1017926136652627,2.509050989151001,0.5958057541679772
5,1.9209561086282498,2.4053541660308837,0.6000767470968584
6,1.7687517927914131,2.27643404006958,0.5965890371324339
7,1.603869378566742,2.452706480026245,0.595044040461103
8,1.5500967415367686,2.0397838592529296,0.5268589328509095
9,1.3583303699648477,1.9382984399795533,0.5060527641259489
10,1.2246125958314755,2.0279489278793337,0.5218388167578027
11,1.1153145769262702,1.8865269899368287,0.5082324295539966
12,1.0234081539196698,2.0302104234695433,0.5166276312495638
13,0.9657371574785651,1.8373661756515502,0.4731888437237184
14,0.8729315293513662,1.9399020195007324,0.47413779503862996
