epoch,train_loss,val_loss,val_per
0,3.692332210845517,3.018120252567789,0.724161882597331
1,2.7169304548349595,2.5510383196499036,0.6480591090318574
2,2.423639906976456,2.2718738835790884,0.5893559920744658
3,2.1587499270313666,2.1573453130929368,0.5672260290626143
4,1.927146462345482,1.9445222408875176,0.5336016543410593
5,1.758019215854487,1.9658823350201482,0.520492366042478
6,1.602822771197871,1.7410383820533752,0.47911580989585817
7,1.5671361023770238,1.6085623710051826,0.4478364002293784
8,1.4568506982317544,1.5261982906123865,0.4211266513726106
9,1.2982471646895086,1.4187485251737677,0.39540274328635605
10,1.2139807838694494,1.4242015150578127,0.39324980002697096
11,1.139746252979551,1.333116151716398,0.3767265529594282
12,1.1630199081019352,1.4352742673262306,0.4073325148696914
13,1.074277786159874,1.2327381592729818,0.3402135434672934
14,0.9621157366082185,1.2239159669565118,0.34374203546816334
15,0.910762783616109,1.1527672753385876,0.32210412402125255
16,0.8510411552580676,1.183362546822299,0.32522545604370806
17,1.0342269193633158,1.124473142883052,0.31201140863377275
18,0.8341587125918919,1.1050130368574806,0.3059849884091904
19,0.7640880183841949,1.0635998355953589,0.29338937824384265
